Puesto,Area,
ANALISTA DE REEMBOLSO DE GASTOS,ADMINISTRACION Y FINANZAS,NO APLICA
CONTADOR HO1A METROCARRIER,ADMINISTRACION Y FINANZAS,NO APLICA
EN TRANSICION,ADMINISTRACION Y FINANZAS,NO APLICA
GERENTE DE CREDITO Y COBRANZA METROCARRIER,ADMINISTRACION Y FINANZAS,NO APLICA
JEFE DE FACTURACION E INGRESOS MCA,ADMINISTRACION Y FINANZAS,NO APLICA
JEFE DE CONSTRUCCION Y MANTENIMIENTO,CONSTRUCCION,NO APLICA
AYUDANTE DE CONSTRUCCION,CONSTRUCCION MCA,NO APLICA
INGENIERO DE FIBRAS,CONSTRUCCION MCA,NO APLICA
SUPERVISOR DE CONSTRUCCION,CONSTRUCCION MCA,NO APLICA
SUPERVISOR DE CONSTRUCCION METROCARRIER,CONSTRUCCION MCA,NO APLICA
TECNICO DE CONSTRUCCION,CONSTRUCCION MCA,NO APLICA
AUXILIAR DE INFRAESTRUCTURA PLANTA INTERNA,INFRAESTRUCTURA PLANTA INTERNA,NO APLICA
GERENTE TECNICO,INFRAESTRUCTURA PLANTA INTERNA,NO APLICA
ADMINISTRADOR DE PROYECTOS JR,INGENIERIA HO1A,NO APLICA
GESTOR DE MEDICION JR,INGENIERIA HO1A,NO APLICA
GESTOR DE MEDICION SR,INGENIERIA HO1A,NO APLICA
SUPERVISOR DE GESTORES DE MEDICION,INGENIERIA HO1A,NO APLICA
ESPECIALISTA DE MICROONDAS METROCARRIER,INGENIERIA MCA,NO APLICA
INGENIERO DE IMPLEMENTACION METROCARRIER,INGENIERIA MCA,NO APLICA
GERENTE REGIONAL DE INGENIERIA METROCARRIER,INGENIERIA MCA,NO APLICA
INGENIERO DE OPERACION METROCARRIER,INGENIERIA MCA,NO APLICA
GESTOR ADMINISTRATIVO,INGENIERIA MCA,NO APLICA
JEFE DE INGENIERIA METROCARRIER,INGENIERIA MCA,NO APLICA
INGENIERO DE OPERACION Y SOPORTE METROCARRIER,INGENIERIA MCA,NO APLICA
INGENIERO DE PREVENTA METROCARRIER,INGENIERIA MCA,NO APLICA
SUPERVISOR DE MANTENIMIENTO,MANTENIMIENTO,NO APLICA
ASISTENTE DE VENTAS CARRIERS,MERCADO CARRIERS,NO APLICA
COORDINADOR DE SERVICIO POSTVENTA,MERCADO CARRIERS,NO APLICA
GERENTE DE VENTAS CARRIERS,MERCADO CARRIERS,NO APLICA
EJECUTIVO DE VENTA SECTOR PUBLICO JR,MERCADO CORPORATIVO Y GOBIERNO,NO APLICA
EJECUTIVO DE VENTA INICIATIVA PRIVADA JR,MERCADO EMPRESARIAL,NO APLICA
AUXILIAR ADMINISTRATIVO DE VENTAS METROCARRIER,MERCADO EMPRESARIAL,NO APLICA
EJECUTIVO DE VENTA MERCADOS VERTICALES SR,MERCADO EMPRESARIAL,NO APLICA
EJECUTIVO DE VENTA MERCADOS VERTICALES JR,MERCADO EMPRESARIAL,NO APLICA
ESPECIALISTA DE PRODUCTO,MERCADO EMPRESARIAL,NO APLICA
EJECUTIVO DE VENTA METROCARRIER SR,MERCADO EMPRESARIAL,NO APLICA
GERENTE DE VENTAS METROCARRIER,MERCADO EMPRESARIAL,NO APLICA
INGENIERO EN SERVICIOS DE REDES Y TELECOM,SERVICIOS REDES Y TELECOM,NO APLICA
JEFE DE SERVICIOS PLANTA INTERNA,SERVICIOS REDES Y TELECOM,NO APLICA
