ID,Calificación Objetivos,Calificación Competencias
267672,5,5
329925,4,3
143021,4,3
258207,4,3
260828,4,3
64194,4,3
165505,4,3
1594,4,3
146100,4,3
254557,4,3
297317,3,4
254645,3,4
316070,3,4
314363,3,4
270254,3,4
303877,3,4
276785,3,4
170943,3,4
236440,3,4
49870,3,4
210951,3,4
171488,3,4
254524,3,4
254552,3,4
270160,3,4
242372,3,3
242845,3,3
34038,3,3
241175,3,3
317743,3,3
254748,3,3
318321,3,3
248504,3,3
261605,3,3
205361,3,3
277230,3,3
237031,3,3
254743,3,3
275308,3,3
316268,3,3
207265,3,3
296076,3,3
254168,3,3
266441,3,3
266107,3,3
250311,3,3
240582,3,3
282757,3,3
343539,3,3
192642,3,3
254914,3,3
254487,3,3
116426,3,3
165402,3,3
186205,3,3
284582,3,3
2297,3,3
228257,3,3
204706,3,3
325109,2,4
289561,2,4
241941,2,4
275954,2,4
340561,2,4
278109,2,4
337965,2,4
82435,2,4
347493,2,4
324565,2,4
223389,2,4
30136,2,4
181682,2,4
286857,2,4
104445,2,4
215277,2,4
254494,2,4
254493,2,4
313858,3,2
265345,3,2
243481,2,3
147066,2,3
204177,2,3
187682,2,3
214317,2,3
305114,2,3
316127,2,3
137482,2,3
341767,2,3
331193,2,3
262623,2,3
134455,2,3
321424,2,3
304529,2,3
301168,2,3
315900,2,3
339250,2,3
163839,2,3
260852,2,3
294898,2,3
205732,2,3
251475,2,3
218902,2,3
323356,2,3
335861,2,3
253867,2,3
252900,2,3
253013,2,3
219828,2,3
236594,2,3
327210,2,3
255103,2,3
316086,2,3
259902,2,3
259313,2,3
336013,2,3
202674,2,3
337034,2,3
154216,2,3
293240,2,3
238119,2,3
234052,2,3
247006,2,3
335824,2,3
338209,2,3
229140,2,3
288614,2,3
339391,2,3
345379,2,3
275631,2,3
78093,2,3
262571,2,3
310105,2,3
266097,2,3
163707,2,3
168801,2,3
294906,2,3
202283,2,3
285778,2,3
196271,2,3
339507,2,3
203558,2,3
314454,2,3
309037,2,3
288181,2,3
261961,2,3
243707,2,3
316074,2,3
172812,2,3
166410,2,3
218244,2,3
197863,2,3
328575,2,3
287210,2,3
103725,2,3
194361,2,3
276441,2,3
306955,2,3
248640,2,3
141165,2,3
189214,2,3
139862,2,3
3149,2,3
139826,2,3
169683,2,3
254829,2,2
215654,2,2
240382,2,2
239747,2,2
254520,2,2
