Puesto,Nombre,Meta
CONSULTOR CLOUD Y DATA CENTER,ABR,17152930.26
CONSULTOR CLOUD Y DATA CENTER,Certificación de Puesto,90
CONSULTOR CLOUD Y DATA CENTER,Certificaciones críticas de empresa,90
CONSULTOR CLOUD Y DATA CENTER,Desempeño de Ingeniería de Proyectos,90
CONSULTOR CLOUD Y DATA CENTER,Disminuir fallas recurrentes de forma proactiva,90
CONSULTOR CLOUD Y DATA CENTER,INDEX,3.9
CONSULTOR CLOUD Y DATA CENTER,Index(Satisfacción del cliente),3.9
CONSULTOR CLOUD Y DATA CENTER,Nivel de servicio(Ejecución de Proyectos),90
CONSULTOR CLOUD Y DATA CENTER,Quejas/Problemas,18
CONSULTOR CLOUD Y DATA CENTER,REO´s,90
CONSULTOR CLOUD Y DATA CENTER,TCV,44381801
CONSULTOR CLOUD Y DATA CENTER,Transición de Proyectos,90
CONSULTOR CLOUD Y DATA CENTER,UTILIDAD BRUTA,30
CONSULTOR PREVENTA,ABR,20000000
CONSULTOR PREVENTA,Asegurar el cumplimiento del TCV,75
CONSULTOR PREVENTA,Asegurar el cumplimiento recurrente de Niveles de Servicio,85
CONSULTOR PREVENTA,Certificación de Puesto,85
CONSULTOR PREVENTA,Certificación de Puesto,90
CONSULTOR PREVENTA,Certificaciones críticas de empresa,90
CONSULTOR PREVENTA,Conocimiento para la integracion de aplicativos ambas empresas ho1a+Metrocarrier ,90
CONSULTOR PREVENTA,Desempeño de Ingeniería de Proyectos,90
CONSULTOR PREVENTA,Disminuir fallas recurrentes de forma proactiva,90
CONSULTOR PREVENTA,Entrega puntual de equipos nuevos ingresos,90
CONSULTOR PREVENTA,Index,3.9
CONSULTOR PREVENTA,INDEX,85
CONSULTOR PREVENTA,Index(Satisfacción del cliente),3.9
CONSULTOR PREVENTA,Integridad de Inventarios y Directorios local,95
CONSULTOR PREVENTA,Nivel de servicio(Ejecución de Proyectos),90
CONSULTOR PREVENTA,Precio Cero,3
CONSULTOR PREVENTA,PROYECTOS ENTREGABLES,90
CONSULTOR PREVENTA,Proyectos o asignaciones especiales por localidad.,90
CONSULTOR PREVENTA,Quejas/Problemas,18
CONSULTOR PREVENTA,REO´s,90
CONSULTOR PREVENTA,Soporte y deteccion de fallas e Incidentes,90
CONSULTOR PREVENTA,TCV,20000000
CONSULTOR PREVENTA,Tiempos de entrega,85
CONSULTOR PREVENTA,Transición de Proyectos,90
CONTROL DOCUMENTAL,Capacitación,3
CONTROL DOCUMENTAL,Carpetas entregadas,100
CONTROL DOCUMENTAL,Index,4.55
CONTROL DOCUMENTAL,TCV,2000000
COORDINADOR COMERCIAL DE CUENTAS CORPORATIVAS,Facturación,60
COORDINADOR COMERCIAL DE CUENTAS CORPORATIVAS,Gestión de Personal,80
COORDINADOR COMERCIAL DE CUENTAS CORPORATIVAS,Index,3.4
COORDINADOR COMERCIAL DE CUENTAS CORPORATIVAS,Rentabilidad,25
COORDINADOR COMERCIAL DE CUENTAS CORPORATIVAS,TCV,80
COORDINADOR COMERCIAL DE CUENTAS ESTRATEGICAS,Facturación,60
COORDINADOR COMERCIAL DE CUENTAS ESTRATEGICAS,Gestión de Personal,80
COORDINADOR COMERCIAL DE CUENTAS ESTRATEGICAS,Index,3.4
COORDINADOR COMERCIAL DE CUENTAS ESTRATEGICAS,Rentabilidad,25
COORDINADOR COMERCIAL DE CUENTAS ESTRATEGICAS,TCV,80
COORDINADOR COMERCIAL DE CUENTAS NOMBRADAS,Aseguramiento del TCV,100
COORDINADOR COMERCIAL DE CUENTAS NOMBRADAS,Certificación de Puesto,85
COORDINADOR COMERCIAL DE CUENTAS NOMBRADAS,Facturación,60
COORDINADOR COMERCIAL DE CUENTAS NOMBRADAS,Gestión de Personal,80
COORDINADOR COMERCIAL DE CUENTAS NOMBRADAS,Index,3.4
COORDINADOR COMERCIAL DE CUENTAS NOMBRADAS,Rentabilidad,25
COORDINADOR COMERCIAL DE CUENTAS NOMBRADAS,Rentabilidad,30
COORDINADOR COMERCIAL DE CUENTAS NOMBRADAS,TCV,80
COORDINADOR COMERCIAL EMPRESARIAL,Facturación,60
COORDINADOR COMERCIAL EMPRESARIAL,Gestión de Personal,80
COORDINADOR COMERCIAL EMPRESARIAL,Index,3.4
COORDINADOR COMERCIAL EMPRESARIAL,Rentabilidad,25
COORDINADOR COMERCIAL EMPRESARIAL,TCV,80
COORDINADOR DE PREVENTA,Asegurar el cumplimiento del TCV,0.75
COORDINADOR DE PREVENTA,Gestión de Personal,0.85
COORDINADOR DE PREVENTA,Index,3.9
COORDINADOR DE PREVENTA,Precio Cero,0
DESARROLLADOR DE PRODUCTO,ABR,3300000000
DESARROLLADOR DE PRODUCTO,INDEX,85
DESARROLLADOR DE PRODUCTO,PROYECTOS ENTREGABLES,90
DESARROLLADOR DE PRODUCTO,TCV,3300000000
EJECUTIVO COMERCIAL DE CUENTAS CORPORATIVAS,Gestión de Personal,80
EJECUTIVO COMERCIAL DE CUENTAS CORPORATIVAS,Index,3.4
EJECUTIVO COMERCIAL DE CUENTAS CORPORATIVAS,Productividad,25
EJECUTIVO COMERCIAL DE CUENTAS CORPORATIVAS,Rentabilidad,30
EJECUTIVO COMERCIAL DE CUENTAS CORPORATIVAS,REO V04,85
EJECUTIVO COMERCIAL DE CUENTAS CORPORATIVAS,TCV,44850000
EJECUTIVO COMERCIAL DE CUENTAS CORPORATIVAS,Ventas vs Presupuesto,80
EJECUTIVO COMERCIAL DE CUENTAS ESTRATEGICAS,Facturación,60
EJECUTIVO COMERCIAL DE CUENTAS ESTRATEGICAS,Gestión de Personal,80
EJECUTIVO COMERCIAL DE CUENTAS ESTRATEGICAS,Index,3.4
EJECUTIVO COMERCIAL DE CUENTAS ESTRATEGICAS,Productividad,25
EJECUTIVO COMERCIAL DE CUENTAS ESTRATEGICAS,Rentabilidad,25
EJECUTIVO COMERCIAL DE CUENTAS ESTRATEGICAS,TCV,80
EJECUTIVO COMERCIAL DE CUENTAS ESTRATEGICAS,Ventas vs Presupuesto,80
EJECUTIVO COMERCIAL DE CUENTAS NOMBRADAS,Gestión de Personal,80
